"date","distance_m","trap1","trap2","trap3"
2022-06-30,0,0,0,0
2022-06-30,20,5,14,6
2022-06-30,50,36,9,2
2022-06-30,100,19,11,3
2022-06-30,150,0,1,0
2022-06-30,200,0,3,1
2022-07-07,0,2,0,3
2022-07-07,20,15,2,9
2022-07-07,50,5,5,2
2022-07-07,100,20,4,16
2022-07-07,150,3,4,0
2022-07-07,200,1,5,9
2022-09-26,0,0,1,0
2022-09-26,20,1,2,0
2022-09-26,50,1,0,1
2022-09-26,100,0,0,0
2022-09-26,150,0,0,0
2022-09-26,200,0,1,2
2023-08-04,0,0,0,0
2023-08-04,20,0,0,0
2023-08-04,50,2,0,0
2023-08-04,100,0,0,0
2023-08-04,150,0,0,0
2023-08-04,200,0,0,0
